trade_date,000016.SH
20140102,1561.099
20140103,1536.067
20140106,1512.93
20140107,1510.654
20140108,1515.333
20140109,1503.881
20140110,1498.268
20140113,1494.613
20140114,1499.285
20140115,1488.509
20140116,1493.094
20140117,1475.671
20140120,1464.842
20140121,1478.884
20140122,1514.121
20140123,1499.031
20140124,1502.065
20140127,1478.865
20140128,1487.803
20140129,1494.49
20140130,1477.345
20140207,1475.343
20140210,1505.834
20140211,1528.322
20140212,1527.001
20140213,1528.015
20140214,1534.239
20140217,1538.105
20140218,1508.541
20140219,1533.396
20140220,1520.138
20140221,1505.331
20140224,1468.06
20140225,1440.892
20140226,1444.198
20140227,1452.461
20140228,1464.321
20140303,1462.686
20140304,1464.284
20140305,1448.331
20140306,1459.508
20140307,1455.585
20140310,1408.873
20140311,1412.733
20140312,1418.698
20140313,1437.392
20140314,1426.395
20140317,1434.157
20140318,1427.63
20140319,1418.707
20140320,1406.915
20140321,1464.08
20140324,1477.532
20140325,1470.121
20140326,1467.08
20140327,1464.53
20140328,1472.047
20140331,1465.783
20140401,1473.142
20140402,1491.303
20140403,1477.488
20140404,1490.334
20140408,1534.747
20140409,1530.875
20140410,1570.397
20140411,1565.308
20140414,1557.7
20140415,1523.22
20140416,1527.054
20140417,1520.562
20140418,1521.278
20140421,1493.756
20140422,1509.547
20140423,1507.041
20140424,1510.285
20140425,1501.046
20140428,1483.776
20140429,1496.009
20140430,1494.808
20140505,1487.532
20140506,1485.25
20140507,1476.176
20140508,1478.717
20140509,1480.737
20140512,1508.387
20140513,1503.517
20140514,1500.825
20140515,1488.771
20140516,1487.735
20140519,1459.212
20140520,1460.82
20140521,1474.139
20140522,1471.552
20140523,1484.375
20140526,1486.049
20140527,1479.733
20140528,1491.756
20140529,1484.307
20140530,1482.096
20140603,1477.522
20140604,1466.387
20140605,1484.241
20140606,1472.268
20140609,1475.347
20140610,1493.533
20140611,1488.764
20140612,1483.861
20140613,1502.961
20140616,1518.705
20140617,1501.939
20140618,1495.431
20140619,1478.038
20140620,1484.479
20140623,1475.76
20140624,1480.128
20140625,1469.954
20140626,1478.006
20140627,1473.756
20140630,1482.405
20140701,1481.663
20140702,1484.841
20140703,1489.545
20140704,1492.463
20140707,1492.836
20140708,1491.964
20140709,1475.137
20140710,1471.168
20140711,1468.541
20140714,1482.777
20140715,1484.662
20140716,1483.176
20140717,1473.668
20140718,1478.755
20140721,1479.837
20140722,1495.927
20140723,1506.755
20140724,1541.899
20140725,1557.015
20140728,1609.477
20140729,1611.852
20140730,1601.377
20140731,1621.847
20140801,1607.974
20140804,1644.634
20140805,1632.408
20140806,1619.012
20140807,1593.419
20140808,1595.662
20140811,1619.253
20140812,1607.91
20140813,1610.139
20140814,1596.839
20140815,1612.004
20140818,1613.127
20140819,1609.093
20140820,1600.338
20140821,1587.025
20140822,1594.183
20140825,1577.425
20140826,1573.391
20140827,1572.791
20140828,1563.889
20140829,1581.284
20140901,1586.022
20140902,1607.499
20140903,1624.032
20140904,1637.287
20140905,1656.237
20140909,1645.112
20140910,1629.985
20140911,1622.815
20140912,1630.204
20140915,1624.068
20140916,1600.916
20140917,1604.916
20140918,1609.869
20140919,1619.581
20140922,1583.886
20140923,1595.642
20140924,1625.731
20140925,1618.524
20140926,1616.088
20140929,1621.816
20140930,1619.697
20141008,1633.571
20141009,1634.042
20141010,1621.713
20141013,1605.986
20141014,1600.299
20141015,1612.772
20141016,1608.735
20141017,1608.516
20141020,1612.402
20141021,1600.844
20141022,1597.125
20141023,1586.557
20141024,1583.419
20141027,1559.906
20141028,1585.744
20141029,1608.402
20141030,1619.096
20141031,1657.286
20141103,1651.052
20141104,1645.624
20141105,1637.625
20141106,1635.964
20141107,1640.323
20141110,1689.024
20141111,1710.882
20141112,1731.021
20141113,1726.337
20141114,1728.805
20141117,1708.096
20141118,1679.423
20141119,1671.654
20141120,1676.598
20141121,1714.711
20141124,1758.096
20141125,1777.673
20141126,1820.489
20141127,1853.004
20141128,1914.44
20141201,1920.38
20141202,2021.54
20141203,2037.585
20141204,2160.66
20141205,2200.253
20141208,2298.849
20141209,2182.693
20141210,2254.823
20141211,2193.542
20141212,2193.287
20141215,2201.536
20141216,2299.278
20141217,2383.948
20141218,2364.041
20141219,2390.28
20141222,2426.684
20141223,2374.954
20141224,2270.883
20141225,2359.655
20141226,2464.819
20141229,2481.663
20141230,2523.627
20141231,2581.567
20150105,2649.639
20150106,2629.402
20150107,2635.231
20150108,2558.107
20150109,2569.019
20150112,2543.852
20150113,2527.828
20150114,2534.23
20150115,2632.89
20150116,2653.034
20150119,2410.201
20150120,2403.724
20150121,2542.318
20150122,2544.308
20150123,2564.514
20150126,2562.363
20150127,2522.103
20150128,2486.285
20150129,2442.038
20150130,2405.38
20150202,2332.533
20150203,2405.76
20150204,2372.455
20150205,2348.921
20150206,2325.241
20150209,2366.766
20150210,2403.548
20150211,2415.128
20150212,2416.449
20150213,2427.474
20150216,2431.21
20150217,2445.26
20150225,2407.457
20150226,2478.061
20150227,2474.595
20150302,2479.237
20150303,2396.805
20150304,2397.993
20150305,2366.899
20150306,2371.623
20150309,2429.867
20150310,2395.428
20150311,2408.503
20150312,2485.114
20150313,2495.277
20150316,2550.861
20150317,2583.198
20150318,2649.642
20150319,2630.243
20150320,2680.679
20150323,2720.671
20150324,2683.647
20150325,2649.161
20150326,2687.762
20150327,2689.24
20150330,2784.456
20150331,2754.658
20150401,2799.451
20150402,2781.641
20150403,2817.181
20150407,2889.452
20150408,2952.079
20150409,2931.772
20150410,2986.605
20150413,3041.125
20150414,3052.407
20150415,3053.304
20150416,3183.302
20150417,3235.332
20150420,3164.461
20150421,3214.364
20150422,3299.221
20150423,3273.398
20150424,3223.958
20150427,3308.454
20150428,3282.33
20150429,3283.282
20150430,3250.49
20150504,3272.005
20150505,3148.813
20150506,3139.02
20150507,3094.883
20150508,3110.455
20150511,3169.134
20150512,3188.313
20150513,3141.296
20150514,3128.572
20150515,3060.411
20150518,2998.389
20150519,3116.086
20150520,3122.85
20150521,3150.901
20150522,3248.855
20150525,3349.945
20150526,3386.593
20150527,3344.738
20150528,3124.621
20150529,3111.334
20150601,3244.319
20150602,3258.31
20150603,3238.428
20150604,3299.03
20150605,3303.988
20150608,3458.707
20150609,3413.996
20150610,3370.383
20150611,3347.116
20150612,3350.248
20150615,3262.479
20150616,3179.652
20150617,3211.707
20150618,3068.488
20150619,2903.057
20150623,3003.163
20150624,3045.244
20150625,2943.99
20150626,2736.695
20150629,2678.368
20150630,2870.025
20150701,2736.847
20150702,2714.247
20150703,2582.266
20150706,2749.998
20150707,2812.446
20150708,2608.977
20150709,2781.077
20150710,2898.41
20150713,2869.051
20150714,2763.073
20150715,2757.951
20150716,2742.847
20150717,2807.065
20150720,2783.761
20150721,2772.774
20150722,2739.786
20150723,2790.764
20150724,2741.044
20150727,2493.29
20150728,2485.674
20150729,2531.445
20150730,2467.367
20150731,2461.24
20150803,2479.724
20150804,2534.711
20150805,2487.062
20150806,2467.525
20150807,2503.796
20150810,2617.659
20150811,2590.7101
20150812,2561.1265
20150813,2580.7779
20150814,2577.0381
20150817,2550.4668
20150818,2407.9666
20150819,2430.2809
20150820,2356.9173
20150821,2271.3586
20150824,2058.2515
20150825,1914.0515
20150826,1942.4498
20150827,2094.7223
20150828,2159.9579
20150831,2210.4467
20150901,2230.321
20150902,2243.6313
20150907,2133.9783
20150908,2180.1306
20150909,2211.1995
20150910,2208.4814
20150911,2195.3905
20150914,2228.1535
20150915,2175.1725
20150916,2241.9486
20150917,2194.8233
20150918,2198.9898
20150921,2214.4483
20150922,2237.3135
20150923,2178.546
20150924,2188.0879
20150925,2183.4036
20150928,2169.941
20150929,2127.2026
20150930,2146.118
20151008,2191.3432
20151009,2219.2937
20151012,2283.4292
20151013,2270.9481
20151014,2253.9082
20151015,2297.9014
20151016,2323.7752
20151019,2318.4716
20151020,2337.0801
20151021,2340.3603
20151022,2331.7909
20151023,2343.9648
20151026,2350.0196
20151027,2349.9042
20151028,2310.7026
20151029,2307.345
20151030,2312.9738
20151102,2280.0924
20151103,2271.6533
20151104,2370.5032
20151105,2440.6507
20151106,2493.4843
20151109,2534.0841
20151110,2522.6834
20151111,2505.8297
20151112,2476.4292
20151113,2447.7733
20151116,2447.2933
20151117,2453.2569
20151118,2439.4469
20151119,2468.4881
20151120,2466.7568
20151123,2456.8404
20151124,2447.9039
20151125,2459.5633
20151126,2450.9624
20151127,2334.44
20151130,2336.2903
20151201,2344.8327
20151202,2458.4105
20151203,2461.4492
20151204,2397.5621
20151207,2395.5835
20151208,2364.3437
20151209,2369.7377
20151210,2357.2086
20151211,2342.4527
20151214,2414.9166
20151215,2383.8318
20151216,2376.5351
20151217,2408.3212
20151218,2422.8345
20151221,2500.0644
20151222,2496.054
20151223,2503.059
20151224,2481.7542
20151225,2492.3364
20151228,2411.4081
20151229,2432.8795
20151230,2432.773
20151231,2420.8008
20160104,2270.4609
20160105,2288.1127
20160106,2317.6465
20160107,2180.5889
20160108,2219.6119
20160111,2120.2342
20160112,2131.3679
20160113,2105.5066
20160114,2132.0757
20160115,2070.9283
20160118,2069.2746
20160119,2128.5743
20160120,2088.7229
20160121,2040.9775
20160122,2061.9621
20160125,2065.4437
20160126,1951.6136
20160127,1953.4647
20160128,1912.7205
20160129,1973.0052
20160201,1937.0729
20160202,1969.6161
20160203,1952.3665
20160204,1974.2364
20160205,1967.2595
20160215,1948.2752
20160216,2000.9027
20160217,2014.4428
20160218,2009.2727
20160219,2004.1065
20160222,2053.8631
20160223,2029.5223
20160224,2041.3881
20160225,1932.6015
20160226,1955.3953
20160229,1944.6111
20160301,1973.1936
20160302,2043.4067
20160303,2053.2726
20160304,2122.2692
20160307,2107.6731
20160308,2115.158
20160309,2111.9188
20160310,2061.451
20160311,2070.7239
20160314,2078.4096
20160315,2101.1167
20160316,2136.1277
20160317,2131.4813
20160318,2141.1774
20160321,2193.3853
20160322,2173.256
20160323,2175.2834
20160324,2137.59
20160325,2149.2039
20160328,2123.0349
20160329,2106.8616
20160330,2157.5295
20160331,2156.541
20160401,2167.7824
20160405,2180.2624
20160406,2168.0372
20160407,2139.4042
20160408,2123.8041
20160411,2148.4394
20160412,2143.8961
20160413,2171.315
20160414,2178.8677
20160415,2182.0667
20160418,2158.2302
20160419,2163.607
20160420,2154.8859
20160421,2147.7184
20160422,2157.7235
20160425,2148.2801
20160426,2155.7914
20160427,2145.3804
20160428,2142.0569
20160429,2135.5087
20160503,2158.2717
20160504,2152.9337
20160505,2152.8822
20160506,2107.0089
20160509,2072.467
20160510,2072.3818
20160511,2078.4126
20160512,2084.8384
20160513,2076.1879
20160516,2082.6159
20160517,2075.4651
20160518,2078.7593
20160519,2073.8041
20160520,2083.1174
20160523,2082.4118
20160524,2066.6428
20160525,2071.9071
20160526,2076.1366
20160527,2074.9195
20160530,2092.1606
20160531,2155.6557
20160601,2138.9632
20160602,2137.6519
20160603,2152.6368
20160606,2136.3228
20160607,2139.069
20160608,2132.963
20160613,2084.3001
20160614,2095.0228
20160615,2106.6312
20160616,2094.8146
20160617,2102.2006
20160620,2104.2202
20160621,2104.5582
20160622,2115.7685
20160623,2105.5324
20160624,2076.2999
20160627,2095.893
20160628,2102.0531
20160629,2122.9696
20160630,2122.633
20160701,2127.0939
20160704,2163.2922
20160705,2168.8551
20160706,2167.101
20160707,2166.8843
20160708,2148.7606
20160711,2155.716
20160712,2200.3482
20160713,2197.7879
20160714,2195.2265
20160715,2192.3939
20160718,2187.9829
20160719,2175.3972
20160720,2167.1205
20160721,2177.7781
20160722,2157.2315
20160725,2159.5537
20160726,2182.505
20160727,2173.9725
20160728,2163.8087
20160729,2155.2387
20160801,2147.5582
20160802,2148.4547
20160803,2145.7877
20160804,2143.8436
20160805,2148.6819
20160808,2159.6726
20160809,2175.345
20160810,2170.1028
20160811,2177.0644
20160812,2222.4884
20160815,2287.6559
20160816,2257.6988
20160817,2253.7364
20160818,2244.7198
20160819,2249.3415
20160822,2237.1276
20160823,2241.9516
20160824,2232.2134
20160825,2222.1523
20160826,2219.3076
20160829,2214.2593
20160830,2224.0621
20160831,2232.7117
20160901,2220.4031
20160902,2229.893
20160905,2228.7184
20160906,2232.4508
20160907,2236.5455
20160908,2236.6259
20160909,2229.3097
20160912,2199.9764
20160913,2193.1932
20160914,2176.523
20160919,2189.4611
20160920,2184.2066
20160921,2187.1542
20160922,2200.6981
20160923,2196.2903
20160926,2167.264
20160927,2176.4476
20160928,2166.7226
20160929,2175.3696
20160930,2177.3524
20161010,2202.8725
20161011,2209.2276
20161012,2200.9969
20161013,2202.1167
20161014,2209.8145
20161017,2192.8845
20161018,2222.7832
20161019,2221.5341
20161020,2223.4242
20161021,2240.7496
20161024,2270.9504
20161025,2266.1718
20161026,2257.1164
20161027,2250.2589
20161028,2253.8017
20161031,2250.4693
20161101,2263.4785
20161102,2244.7436
20161103,2273.6329
20161104,2271.9263
20161107,2276.9543
20161108,2282.4184
20161109,2263.9243
20161110,2289.4491
20161111,2308.4288
20161114,2317.7726
20161115,2310.901
20161116,2309.9426
20161117,2316.7211
20161118,2307.2741
20161121,2334.6776
20161122,2353.0023
20161123,2360.3355
20161124,2368.7336
20161125,2393.9464
20161128,2403.1352
20161129,2441.5786
20161130,2419.4136
20161201,2431.3063
20161202,2416.5077
20161205,2375.2578
20161206,2368.6823
20161207,2376.9191
20161208,2379.0013
20161209,2411.3144
20161212,2387.1588
20161213,2372.9307
20161214,2360.3788
20161215,2309.8159
20161216,2302.3152
20161219,2291.3842
20161220,2279.6828
20161221,2297.3706
20161222,2292.0412
20161223,2278.4779
20161226,2294.7094
20161227,2286.9617
20161228,2277.1759
20161229,2275.1064
20161230,2286.8984
20170103,2307.8917
20170104,2322.2059
20170105,2322.6843
20170106,2308.9363
20170109,2318.3365
20170110,2312.5985
20170111,2300.4749
20170112,2295.4033
20170113,2308.0552
20170116,2337.3944
20170117,2329.595
20170118,2342.7751
20170119,2334.9572
20170120,2347.1829
20170123,2347.1047
20170124,2352.4242
20170125,2358.6974
20170126,2364.0244
20170203,2339.9894
20170206,2343.9673
20170207,2337.5346
20170208,2346.4263
20170209,2354.9009
20170210,2368.1834
20170213,2379.3057
20170214,2373.5138
20170215,2372.192
20170216,2376.7626
20170217,2362.7086
20170220,2394.1201
20170221,2396.8843
20170222,2398.1922
20170223,2387.4172
20170224,2389.8774
20170227,2370.5594
20170228,2370.707
20170301,2371.9252
20170302,2354.9134
20170303,2347.1456
20170306,2349.8889
20170307,2356.2933
20170308,2358.074
20170309,2346.5527
20170310,2339.2339
20170313,2354.8904
20170314,2354.8998
20170315,2357.3071
20170316,2369.194
20170317,2346.9602
20170320,2350.0671
20170321,2357.1359
20170322,2338.5468
20170323,2347.4342
20170324,2365.6043
20170327,2364.4277
20170328,2356.3135
20170329,2352.6937
20170330,2346.6672
20170331,2359.752
20170405,2384.2636
20170406,2390.3893
20170407,2388.2714
20170410,2379.1574
20170411,2382.1093
20170412,2378.8628
20170413,2368.1061
20170414,2355.5204
20170417,2357.5233
20170418,2337.3507
20170419,2325.0424
20170420,2335.6472
20170421,2347.6745
20170424,2341.9296
20170425,2344.741
20170426,2344.5049
20170427,2351.6403
20170428,2347.0391
20170502,2336.7917
20170503,2329.7661
20170504,2325.4332
20170505,2320.602
20170508,2326.0968
20170509,2316.2944
20170510,2324.9219
20170511,2339.2903
20170512,2375.4495
20170515,2381.7516
20170516,2381.317
20170517,2363.5591
20170518,2354.753
20170519,2361.6616
20170522,2381.5525
20170523,2411.7999
20170524,2407.5706
20170525,2473.4953
20170526,2471.2141
20170531,2479.078
20170601,2496.4482
20170602,2475.4636
20170605,2450.3457
20170606,2466.0064
20170607,2484.0334
20170608,2507.0335
20170609,2519.2731
20170612,2521.1681
20170613,2515.1427
20170614,2477.3173
20170615,2461.974
20170616,2452.7899
20170619,2484.1159
20170620,2474.4253
20170621,2497.2544
20170622,2516.6729
20170623,2529.0983
20170626,2543.3213
20170627,2554.6996
20170628,2537.6363
20170629,2552.9754
20170630,2549.9676
20170703,2534.3675
20170704,2511.1507
20170705,2548.0993
20170706,2553.8793
20170707,2543.6576
20170710,2550.1147
20170711,2570.5919
20170712,2565.1428
20170713,2600.9535
20170714,2622.9835
20170717,2631.4144
20170718,2624.3081
20170719,2657.8882
20170720,2665.4483
20170721,2639.2128
20170724,2654.3785
20170725,2643.0733
20170726,2636.2005
20170727,2636.6262
20170728,2636.3937
20170731,2638.1244
20170801,2681.8054
20170802,2680.6314
20170803,2646.2164
20170804,2627.8026
20170807,2634.1759
20170808,2635.1841
20170809,2620.3807
20170810,2611.3412
20170811,2570.2565
20170814,2591.4536
20170815,2605.2415
20170816,2595.0017
20170817,2604.0837
20170818,2613.2647
20170821,2616.8248
20170822,2643.5032
20170823,2659.7804
20170824,2646.4016
20170825,2706.2421
20170828,2736.4617
20170829,2739.129
20170830,2728.2308
20170831,2714.6313
20170901,2710.1186
20170904,2711.3475
20170905,2729.8476
20170906,2714.3309
20170907,2691.829
20170908,2686.6899
20170911,2674.7502
20170912,2692.5401
20170913,2687.6707
20170914,2672.8364
20170915,2668.3759
20170918,2674.1759
20170919,2670.6914
20170920,2662.6266
20170921,2675.5508
20170922,2679.0529
20170925,2680.6516
20170926,2678.9912
20170927,2661.5532
20170928,2661.2832
20170929,2672.3272
20171009,2692.0769
20171010,2695.5374
20171011,2707.5221
20171012,2718.3508
20171013,2713.3767
20171016,2726.6423
20171017,2723.5345
20171018,2753.0105
20171019,2756.0354
20171020,2737.6411
20171023,2734.3683
20171024,2753.6492
20171025,2752.1394
20171026,2771.0435
20171027,2814.272
20171030,2809.1069
20171031,2793.7119
20171101,2789.4022
20171102,2794.1017
20171103,2800.4688
20171106,2792.2237
20171107,2821.9558
20171108,2819.9571
20171109,2832.9612
20171110,2862.3432
20171113,2873.5145
20171114,2861.4234
20171115,2850.0504
20171116,2879.3977
20171117,2938.7983
20171120,2941.1532
20171121,2987.1731
20171122,3012.3552
20171123,2940.7256
20171124,2936.8339
20171127,2917.306
20171128,2897.107
20171129,2893.2825
20171130,2863.4469
20171201,2842.1841
20171204,2861.3609
20171205,2910.4755
20171206,2875.7315
20171207,2848.888
20171208,2865.3407
20171211,2899.1036
20171212,2850.1969
20171213,2872.94
20171214,2850.0458
20171215,2820.1666
20171218,2829.0585
20171219,2873.0302
20171220,2879.6434
20171221,2895.3659
20171222,2880.7725
20171225,2880.0968
20171226,2894.3358
20171227,2839.6346
20171228,2859.0537
20171229,2860.4363
